epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,235.572,0.89963,0.78254,1,1.16856,0.00332574,0.00332574,0.00332574
2,469.553,0.58185,0.73416,1,1.17739,0.00659315,0.00659315,0.00659315
3,683.257,0.70813,0.65686,1,1.25516,0.00979456,0.00979456,0.00979456
4,893.662,0.99212,0.64638,1,1.27562,0.009703,0.009703,0.009703
5,1104.33,0.94246,0.64688,1,1.29537,0.009604,0.009604,0.009604
6,1314.58,0.88137,0.65087,1,1.28447,0.009505,0.009505,0.009505
7,1523.93,0.86308,0.65786,1,1.25265,0.009406,0.009406,0.009406
8,1733.04,0.78283,0.66185,1,1.26685,0.009307,0.009307,0.009307
9,1942.74,0.75366,0.69526,1,1.23327,0.009208,0.009208,0.009208
10,2153.08,0.70034,0.67182,1,1.23566,0.009109,0.009109,0.009109
11,2364.88,0.65803,0.71471,1,1.22378,0.00901,0.00901,0.00901
12,2610.83,0.63617,0.71671,1,1.20101,0.008911,0.008911,0.008911
13,2851.65,0.58874,0.69476,1,1.21971,0.008812,0.008812,0.008812
14,3061.86,0.5468,0.73516,1,1.18513,0.008713,0.008713,0.008713
15,3308.33,0.50758,0.72369,1,1.1877,0.008614,0.008614,0.008614
16,3529.62,0.49161,0.74464,1,1.1708,0.008515,0.008515,0.008515
17,3741.97,0.47042,0.74364,1,1.17104,0.008416,0.008416,0.008416
18,3955.72,0.43393,0.73117,1,1.18325,0.008317,0.008317,0.008317
19,4165.99,0.4289,0.75362,1,1.1619,0.008218,0.008218,0.008218
20,4375.5,0.43055,0.73716,1,1.17627,0.008119,0.008119,0.008119
21,4585.28,0.39734,0.73267,1,1.17433,0.00802,0.00802,0.00802
22,4798.41,0.36255,0.74813,1,1.16448,0.007921,0.007921,0.007921
23,5007.78,0.35503,0.77506,1,1.13929,0.007822,0.007822,0.007822
24,5217.54,0.34971,0.7601,1,1.15301,0.007723,0.007723,0.007723
25,5428.42,0.32681,0.73466,1,1.17763,0.007624,0.007624,0.007624
26,5638.23,0.31508,0.76509,1,1.14906,0.007525,0.007525,0.007525
27,5851.36,0.30757,0.76608,1,1.14165,0.007426,0.007426,0.007426
28,6061.2,0.28518,0.75561,1,1.15832,0.007327,0.007327,0.007327
29,6273.77,0.2869,0.7581,1,1.14893,0.007228,0.007228,0.007228
30,6483.74,0.27934,0.76908,1,1.14002,0.007129,0.007129,0.007129
31,6693.15,0.26089,0.78504,1,1.12951,0.00703,0.00703,0.00703
32,6902.43,0.23407,0.77057,1,1.13849,0.006931,0.006931,0.006931
33,7111.84,0.24489,0.77805,1,1.12844,0.006832,0.006832,0.006832
34,7320.96,0.22549,0.79302,1,1.11098,0.006733,0.006733,0.006733
35,7530.42,0.21516,0.80848,1,1.10745,0.006634,0.006634,0.006634
36,7740.21,0.21846,0.78254,1,1.12628,0.006535,0.006535,0.006535
37,7949.59,0.21293,0.80898,1,1.10917,0.006436,0.006436,0.006436
38,8159.27,0.20665,0.79152,1,1.11508,0.006337,0.006337,0.006337
39,8369.03,0.20493,0.80648,1,1.10213,0.006238,0.006238,0.006238
40,8581.55,0.17751,0.79701,1,1.11492,0.006139,0.006139,0.006139
41,8791.74,0.17783,0.78603,1,1.12419,0.00604,0.00604,0.00604
42,9003.69,0.19513,0.78953,1,1.12362,0.005941,0.005941,0.005941
43,9213.06,0.1709,0.7985,1,1.11119,0.005842,0.005842,0.005842
44,9422.93,0.16786,0.81297,1,1.09905,0.005743,0.005743,0.005743
45,9635.47,0.13345,0.799,1,1.10906,0.005644,0.005644,0.005644
46,9847.86,0.15925,0.7995,1,1.10508,0.005545,0.005545,0.005545
47,10071.3,0.15475,0.801,1,1.10906,0.005446,0.005446,0.005446
48,10320.8,0.14874,0.79751,1,1.10947,0.005347,0.005347,0.005347
49,10665.1,0.14444,0.82394,1,1.09113,0.005248,0.005248,0.005248
50,10982.1,0.13666,0.79352,1,1.10934,0.005149,0.005149,0.005149
51,11288.5,0.13846,0.81347,1,1.09781,0.00505,0.00505,0.00505
52,11578.9,0.12615,0.82294,1,1.08761,0.004951,0.004951,0.004951
53,11894.1,0.12068,0.81995,1,1.0916,0.004852,0.004852,0.004852
54,12190.1,0.12213,0.80948,1,1.09525,0.004753,0.004753,0.004753
55,12483.1,0.11211,0.81546,1,1.0952,0.004654,0.004654,0.004654
56,12782.7,0.10828,0.81097,1,1.09058,0.004555,0.004555,0.004555
57,13082.2,0.11274,0.79352,1,1.11071,0.004456,0.004456,0.004456
58,13366,0.09766,0.81446,1,1.09457,0.004357,0.004357,0.004357
59,13663.2,0.11085,0.79751,1,1.10183,0.004258,0.004258,0.004258
60,13904.4,0.10424,0.80449,1,1.0999,0.004159,0.004159,0.004159
61,14262.3,0.10096,0.82843,1,1.08246,0.00406,0.00406,0.00406
62,14675.4,0.09305,0.81496,1,1.09838,0.003961,0.003961,0.003961
63,14982.5,0.09229,0.81995,1,1.08534,0.003862,0.003862,0.003862
64,15237.9,0.08566,0.82594,1,1.08196,0.003763,0.003763,0.003763
65,15534,0.07507,0.81546,1,1.09004,0.003664,0.003664,0.003664
66,15763.7,0.08509,0.80499,1,1.09564,0.003565,0.003565,0.003565
67,16003.4,0.07135,0.81845,1,1.08749,0.003466,0.003466,0.003466
68,16224.2,0.07506,0.81397,1,1.09136,0.003367,0.003367,0.003367
69,16446.4,0.07429,0.82494,1,1.08389,0.003268,0.003268,0.003268
70,16666.5,0.07108,0.82145,1,1.08591,0.003169,0.003169,0.003169
71,16888.9,0.06799,0.82494,1,1.08432,0.00307,0.00307,0.00307
72,17108.7,0.06993,0.82444,1,1.08017,0.002971,0.002971,0.002971
73,17329.3,0.06493,0.82494,1,1.07949,0.002872,0.002872,0.002872
74,17551.9,0.05813,0.82294,1,1.07727,0.002773,0.002773,0.002773
75,17767.2,0.05413,0.82294,1,1.08331,0.002674,0.002674,0.002674
76,17979,0.06281,0.83641,1,1.07501,0.002575,0.002575,0.002575
77,18190.7,0.05721,0.83691,1,1.07268,0.002476,0.002476,0.002476
78,18402.6,0.05651,0.8399,1,1.07082,0.002377,0.002377,0.002377
79,18614.2,0.04841,0.83242,1,1.07214,0.002278,0.002278,0.002278
80,18828.6,0.04608,0.83591,1,1.06978,0.002179,0.002179,0.002179
81,19038.7,0.04045,0.83791,1,1.06872,0.00208,0.00208,0.00208
82,19249.4,0.04469,0.84289,1,1.06631,0.001981,0.001981,0.001981
83,19460.2,0.04086,0.83392,1,1.06906,0.001882,0.001882,0.001882
84,19671.8,0.04123,0.83292,1,1.0715,0.001783,0.001783,0.001783
85,19885.4,0.0344,0.82693,1,1.07446,0.001684,0.001684,0.001684
86,20305.3,0.03203,0.82294,1,1.08038,0.001585,0.001585,0.001585
87,20739.3,0.04007,0.82544,1,1.0794,0.001486,0.001486,0.001486
88,21007,0.03951,0.82594,1,1.08006,0.001387,0.001387,0.001387
89,21293.7,0.03188,0.82993,1,1.07972,0.001288,0.001288,0.001288
90,21531.1,0.02829,0.82494,1,1.08144,0.001189,0.001189,0.001189
91,21792.1,0.03865,0.82693,1,1.07863,0.00109,0.00109,0.00109
92,22080.1,0.03059,0.83292,1,1.07749,0.000991,0.000991,0.000991
93,22351.4,0.03414,0.82993,1,1.0756,0.000892,0.000892,0.000892
94,22638.2,0.03036,0.83042,1,1.07459,0.000793,0.000793,0.000793
95,22995.7,0.0298,0.83192,1,1.07387,0.000694,0.000694,0.000694
96,23281.4,0.02316,0.83242,1,1.0719,0.000595,0.000595,0.000595
